,track_id,track_name,artist_name,artist_id,track_popularity,album_name,album_id,track_length,release_date,playlist_id,playlist_name,genre
1207,1Ip5p31SowqjJLo2ss1afJ,better off without me,Matt Hansen,6wlhqnATSJIc0NQ64VxOVJ,68,better off without me,6NpbtHJjrRHeYqlyUaZa35,2.84,2022-03-04,37i9dQZF1DWSqBruwoIXkA,sad hour,Pop
1208,4xqrdfXkTW4T0RauPLv3WA,Heather,Conan Gray,4Uc8Dsxct0oMqx0P6i60ea,88,Kid Krow,2CMlkzFI2oDAy5MbyV7OV5,3.3,2020-03-20,37i9dQZF1DWSqBruwoIXkA,sad hour,Pop
1209,23oYG6HAbahMQEtjk0M7GK,Narcissist,Lauren Spencer Smith,79AyR6ATpj2LTPxfb6FX50,71,Narcissist,4S2n167mDtS0sMPrHzcvGr,2.88,2022-07-29,37i9dQZF1DWSqBruwoIXkA,sad hour,Pop
1210,0DGh73t9eaZA3X3ZXHf4Qe,Break My Heart Again,FINNEAS,37M5pPGs6V1fchFJSgCguX,74,Blood Harmony (Deluxe),1oX0tpdqOXCq3FqoPoQEnh,3.97,2020-08-07,37i9dQZF1DWSqBruwoIXkA,sad hour,Pop
1211,44siIYlT1dMRQysOVjEvdF,broken,Jonah Kagen,5KsRA81UaMVKvLNiwDySfp,63,georgia got colder,0FlFeUoegYdzMZwTOVANE2,3.26,2022-12-02,37i9dQZF1DWSqBruwoIXkA,sad hour,Pop
1212,4IhKLu7Vk3j2TLmnFPl6To,Water Fountain,Alec Benjamin,5IH6FPUwQTxPSXurCrcIov,78,Narrated For You,6jKZplJpy21R5lHaYHHjmZ,3.65,2018-11-16,37i9dQZF1DWSqBruwoIXkA,sad hour,Pop
1213,0tN3F5as29Dv5Dc61CVYie,the worst part,Kenzie Cait,31R6iGeP78KhQrxWifGjSM,45,the worst part,0jICJUwJVSYgWTZ5hkfcLb,3.71,2023-06-02,37i9dQZF1DWSqBruwoIXkA,sad hour,Pop
1214,2PKKGrBkNB8bV8Vv4hwB2j,would you love me now?,Joshua Bassett,4VdV2qRAYBLINR6uU72V1J,59,would you love me now?,7FhtEvJcaDWM92vlsJUrkw,3.43,2022-10-06,37i9dQZF1DWSqBruwoIXkA,sad hour,Pop
1215,66yvX4stoMKIiTcZeDJGpt,A Little Bit of Everything - Spotify Singles,Lizzy McAlpine,1GmsPCcpKgF9OhlNXjOsbS,63,Spotify Singles,39pwm6XqSwGxzEm0gVYSL1,5.29,2023-04-05,37i9dQZF1DWSqBruwoIXkA,sad hour,Pop
1216,5sxaYBg4Om2jVNYiH1jbiS,Over You,Jaira Burns,0tRFWXqKBBQcu5oFVOgVzX,38,Over You,6Bs4k7VHSpHBxi5QoYNfxL,3.27,2023-05-28,37i9dQZF1DWSqBruwoIXkA,sad hour,Pop
